Release date,Product,Impact,Max Severity,Article,Article (Link),Supercedence,Download,Download (Link),Build Number,Details,Details (Link),CWE
"Dec 12, 2023",Windows 10 Version 1607 for x64-based Systems,Information Disclosure,Important,5033373,https://support.microsoft.com/help/5033373,5032197,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033373,10.0.14393.6529,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 10 Version 1607 for 32-bit Systems,Information Disclosure,Important,5033373,https://support.microsoft.com/help/5033373,5032197,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033373,10.0.14393.6529,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 10 for x64-based Systems,Information Disclosure,Important,5033379,https://support.microsoft.com/help/5033379,5032199,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033379,10.0.10240.20345,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 10 for 32-bit Systems,Information Disclosure,Important,5033379,https://support.microsoft.com/help/5033379,5032199,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033379,10.0.10240.20345,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 11 Version 23H2 for x64-based Systems,Information Disclosure,Important,5033375,https://support.microsoft.com/help/5033375,5032190,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033375,10.0.22631.2861,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 11 Version 23H2 for ARM64-based Systems,Information Disclosure,Important,5033375,https://support.microsoft.com/help/5033375,5032190,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033375,10.0.22621.2861,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 10 Version 22H2 for 32-bit Systems,Information Disclosure,Important,5033372,https://support.microsoft.com/help/5033372,5032189,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033372,10.0.19045.3803,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 10 Version 22H2 for ARM64-based Systems,Information Disclosure,Important,5033372,https://support.microsoft.com/help/5033372,5032189,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033372,10.0.19045.3803,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 10 Version 22H2 for x64-based Systems,Information Disclosure,Important,5033372,https://support.microsoft.com/help/5033372,5032189,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033372,10.0.19045.3803,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
"Dec 12, 2023",Windows 11 Version 22H2 for x64-based Systems,Information Disclosure,Important,5033375,https://support.microsoft.com/help/5033375,5032190,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5033375,10.0.22621.2861,CVE-2023-20588,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-20588,[]
